text	sentiment	category
"@RpsAgainstTrump Do they still believe Trump when he said drink Detergent to get rid of COVID? LOL they didn't drink enough then. LOL beyond Horrible,"	Negative	Jokes and sarcasm
"Thank God. 
Children at negligible risk.
#CrimesAgainstHumanity 
49% of parents of children aged 5-11 refuse the vaccine against COVID https://t.co/AUdcOM5YJg"	Neutral	Critique and opinions
@freddyracingfan My MLA: no response. My MP: no response. Every member of @asdnnb DEC: no response.	Negative	Critique and opinions
@QueenBeesCorner @AnneMH01 @dragoian_9 Omg I am so sorry to read this. I believe it. I also became positive for an autoimmune disease shortly after Pfizer.	Positive	Compassion and sentiment
When Covid variants reach Omega humanity is doomed. https://t.co/JlcCnxexPG	Neutral	Jokes and sarcasm
@B52Malmet They’re gonna shoot Covid right in the face	Neutral	Jokes and sarcasm
"""How has Africa nearly eradicated Covid?"" the next day ""The world reacts new deadliest variant of Covid in South Africa with multiple mutations!""

Reality and comedy gold at this point. Was anyone really surprised by a new super bad variant? Cuz I wasn't. Reads like a book."	Negative	Jokes and sarcasm
@freddyracingfan The number of elected officials I have contacted this month giving my name and phone number and calmly and with evidence explaining that COVID is airborne...0 of them have even acknowledged my message.	Negative	Critique and opinions
Covid is sure giving the Greek alphabet a work out... 😪	Neutral	Jokes and sarcasm
Abstract 10712: Mrna COVID Vaccines Dramatically Increase Endothelial Inflammatory Markers and ACS Risk as Measured by the PULS Cardiac Test: a Warning https://t.co/ZVicxsWe5z	Neutral	Informative posts
@cgt5150 I’m getting my Covid booster in 2 weeks and then I will get a flu shot.	Neutral	Compassion and sentiment
COVID will continue to seek out and develop into more deadly versions of itself in the unvaccinated. Eventually it will mutate into something that works faster than we can. 1/2	Negative	Critique and opinions
@birgitomo History will look back at our medical establishments’ ignorance towards aerosol Covid transmission just as we think of treating ‘mania’ using a coarse of leaches.	Negative	Critique and opinions
"📈Ontario Covid-19 reported Nov 27
New Cases: 854
Tests: 31,444 (13,818 under investigation)
Positivity:  3.0% (same as yesterday at 3.0%)
Deaths: 2 (2 in last 30 days)💔
Resolved: 580

LTC Summary
Outbreaks:  -1 (Ongoing 5)
Residents:   1
HCWs:         2
Resident died: 1 💔"	Neutral	Informative posts
@WiebesWorld @UNDmhockey @GopherHockey Any covid related restrictions to be in that rink?	Neutral	Informative questions
@TheCuriousWood1 Trump doesn't even understand what Covid or management means..	Negative	Critique and opinions
"@rocco24_ @raptorsbenchmob @tydebo24 you doubt, u dont know, but everyone knows embiid is a great nba player, and even good nba players can play bad after having covid"	Neutral	Critique and opinions
@JeanRees10 Within 15 days of my second Pfizer I developed severe joint pains. I have now been diagnosed with a severe autoimmune disease. No prior autoimmune and my blood work shows it.	Negative	Compassion and sentiment
"Won’t stop anti-vaxxers, Covid deniers &amp; @bcndp using it to downplay #Omicron
#bcpoli https://t.co/R8vIZy6Krc"	Neutral	Critique and opinions
"Public Health has confirmed a positive COVID-19 case at Blackville School. Read statement from ASD-N superintendent Mark Donovan below:

https://t.co/h7JNpzwqGi"	Neutral	Informative posts
"Positive COVID-19 case at Blackville School. Please see attached letter or visit the Blackville School Facebook page. There will be school on Monday, except for those directed by Public Health to self-isolate. https://t.co/RK6aBX3elt"	Neutral	Informative posts
"@ItsGoneAwry I'm a fat guy who needs to lose weight. I have a number of health issues, all of which will be improved by losing weight. I know I need to do it. And I know it puts me at higher risk if I get Covid. It's just the facts."	Neutral	Compassion and sentiment
@annemariegall @Brekkietweets @imacelebrity If there were any double standards they'd have put Richard back in. He was one of the most popular and would keep their ratings high. There's no conspiracy. It's just Covid.	Neutral	Critique and opinions
@marekjusk @ZachLowy Crazy setuabl had 11 plus subs..even benfica had subs when they were hit with Covid…how are they wrong tho ? No one blaming benfica even tho more info coming out how bsad tried to cancel last minute unless people higher up cancel can’t expect a team to not show up?	Negative	Critique and opinions
"2/2 - Four years later, service is worse due to Greyhound’s bankruptcy, Ontario’s bus industry deregulation &amp; Fed’s continuing inability to improve VIA train service. With COVID-19 lockdown policies increasing car dependence, the future of intercity travel is not looking good. https://t.co/xEvjcVJdVw"	Neutral	Informative posts
@airtransat @MajesticResorts you guys have a COVID peace of mind cancellation policy so I cancelled my flights but it isn't showing me a refund. it says $0..... @CTVNews	Neutral	Critique and opinions
“Mask-wearing is the single most effective public health measure at tackling Covid” https://t.co/PE6KOefc6Q	Neutral	Informative posts
"Lawyers to sue WHO for 'misleading world over COVID-19 outbreak'
https://t.co/kc5PwsVoxX"	Neutral	Informative posts
@Rachael50244055 @givepeazachance Stress causes people to grind their teeth. A bite plate protects teeth. My son has this problem&amp; needs a bite plate. Maybe because Covid is causing huge stress to almost everyone &amp; it contributes to dental issues.	Negative	Compassion and sentiment
@shaunbillings9 @MdRisette Yet I have dozens and dozens of dead patients from Covid that you don’t give a flying fuck about.	Negative	Critique and opinions
"Happy to report, my two grandchildren, ages 5 and 7, had their first Pfizer jabs yesterday. What a relief! #GetVaccinatedNow"	Positive	Compassion and sentiment
Visiting Santa in a COVID world. Hillside Mall doing it’s best to protect the guy in red before Christmas. #mallsanta https://t.co/Tv8DYGbdcZ	Positive	Critique and opinions
@RedCollie1 I have been dealing with swollen hands for 3 months since my Pfizer second shot	Negative	Compassion and sentiment
"France mulls more autonomy for Martinique, Guadeloupe amid COVID-19 riots | CBC https://t.co/j1jedF1uZk"	Neutral	Informative posts
Vaccine Maker Earned Record Profits but Delivered Disappointment in Return https://t.co/iEjUQlpwpw	Neutral	Informative posts
"Food for thought 
https://t.co/aG6lt77tlV"	Negative	Informative posts
"@malenial2 @p_penney @CBCAlerts Mutations occur in unvaccinated populations, like in Africa, and come back to challenge vaccines in the vaccinated.
No unvaccinated, and the virus has fewer opportunities to mutate and undermine the vaccine.
There are 50 mutations, it's almost a new virus. https://t.co/iATWXjnwh3"	Neutral	Informative posts
A new Covid variant is no surprise when rich countries are hoarding vaccines | Gordon Brown https://t.co/L4MKUZo0nN 😷	Negative	Critique and opinions
@investorclass I was diagnosed with autoimmune disorders after Pfizer. My bloodwork shows the change in my antibodies and liver enzymes from normal to abnormal. It’s a nightmare	Negative	Compassion and sentiment
"@MikeJPMcManus @ChampForza @CTVNews Bug Spray. Great idea. Thanks. 

So YOU think Prevention is key. 

Hey did you know vaccines and masks are a great at preventing covid 19. Sort of like bug sprays. I totally understand if you want to delete your reply now 😂😂😂"	Neutral	Critique and opinions
New Brunswick reports 85 new cases of COVID-19 and 793 active infections https://t.co/I8OahohBEJ https://t.co/Ta43MG7w4Q	Neutral	Informative posts
"Fauci Says Omicron Is Likely Already Here, NY Issues Emergency Order https://t.co/jnjrLj9jBO https://t.co/CqpZXrbQxU"	Neutral	Informative posts
"@JanetRWees @prairiecentrist At the end of the day we need to be smart - get vaccinated, get boosters, encourage others to get vaccinated, wear masks, and practice other methods while acknowledging COVID is airborne. Closing borders in a panic does not stop the spread of new variants as we've seen."	Positive	Critique and opinions
Doug Ford: Stop symptomatic COVID-19 testing at Ontario Pharmacies https://t.co/dwwNCEmViX via @CdnChange	Neutral	Critique and opinions
"@AdamGFrench @YouHadMeAtPinot Are you staying at a resort or something somewhere? I’m SURE they clean it out between guest visits. ESPECIALLY in this Covid worried world in which we live. Also we’ll need  pictorial evidence, just sayin’. 😜😂🤣"	Positive	Jokes and sarcasm
Hey @JohnCleese  did you notice how the WHO seemed to skip a letter when naming the new COVID variant - wonder why they did that? https://t.co/ov5oTtcLZF	Neutral	Jokes and sarcasm
"Things like this make me wonder how long we're going to be afraid versus how long we need to be.

#covid #covidvariant #OmicronVariant https://t.co/KSaZObdE4u"	Negative	Critique and opinions
Today I got to spend time with my littlest sister for the second time since COVID hit. I've missed her beautiful energy so much 🌈 We met up to get our auras photographed and interpreted and it was so much fun💜💚💙 #IndigoChildren https://t.co/WREgkYvJI0	Positive	Compassion and sentiment
"@Pick_A_Lane @Martyupnorth_ I haven’t even started looking at the vaxx injuries yet. Just the prolonging of the Covid cases which is bad enough, to say nothing of the shot injures, social damage from lockdowns, suicides, etc."	Neutral	Critique and opinions
"@DrJenGunter It's official, I don't want to travel anywhere for reasons other than COVID."	Neutral	Critique and opinions
"bruh the Jimmie Johnson 1/24 Phoenix diecast I ordered got delayed again due to covid and won't ship until minimum of January next year...

I ordered the diecast over a year ago.... PAIN."	Negative	Compassion and sentiment
"@SChad71593015 This variant is 6 months old, they just pull it out now! The globalist world economic forum reported about it in the summer! Wake up!
https://t.co/eEhSzUWMeO"	Negative	Critique and opinions
"https://t.co/JD155N65d5 - I have a genius idea. Just stick another needle in them, even a covid booster shot. Tell em its devaccinating them."	Negative	Jokes and sarcasm
"@Myberns1 Yes.
What all we need to do is a Covid zero policy with real quarantine, but we all busy with shifting blames and political correctness for ""freedom"""	Neutral	Critique and opinions
New Brunswick reports 85 new cases of COVID-19 and 793 active infections https://t.co/oFJlVIJKVK	Neutral	Informative posts
"@kamorant From what I heard about Klingons, I don't think COVID would be their idea of dying well."	Neutral	Jokes and sarcasm
"People are more upset at their family, friends, neighbors,  over covid than the ones who created it in the first place."	Negative	Critique and opinions
@pablomariz777 Well technically their only threat was  Calgary and they were awful last yr although I think they had covid issues	Neutral	Critique and opinions
"COVID-19 is a global pandemic-- we'll need global  efforts to curb its unending menace.  Travel ban can only delay #omicron; it can't stop it.  No country is an island in the real sense. #Delta and #Omicron were preventable, and so will be #pi or #rho if we maintain status quo"	Negative	Critique and opinions
"I suspect we are ALL going to get some strain of #covid. 
Much of this horror could have been avoided if vaccines had been freely distributed globally and the majority took them. 
We are now literally chasing every new strain and trying to make a booster for it. https://t.co/5aunSFp1Xs"	Negative	Critique and opinions
Canada Toronto Against Covid Tyranny https://t.co/eqtgEYqoDp via @YouTube	Negative	Critique and opinions
"@Mikeggibbs The pandemic answer is always... B.
🤘"	Neutral	Jokes and sarcasm
"Pfizer says its vaccine is safe for kids (while admitting its study was too small)
https://t.co/yBe85zvc4W"	Negative	Critique and opinions
Covid Killed Three Rare Snow Leopards at a Zoo. Demand Vaccinations for Eligible Animals Now! #care2 https://t.co/LuNUUDB50p	Negative	Critique and opinions
My 6 yr old got his COVID shot today and it’s been nothing but high fives and cheers from those who saw the pics. I’m incredibly proud and grateful for healthcare.	Positive	Compassion and sentiment
@givepeazachance What does that have to do with COVID? Curious. Hope you’re healing well. 😘	Neutral	Informative questions
@reporterchris @rwesthead guy gets Covid tries to play thru it and gets 🍆ed for his efforts… @Senators @NHLPA @PR_NHL all suck 💩 and should be taken to court.	Negative	Critique and opinions
"@cmusician Outbreak is a covid term used by health officials. It means ""smaller area"" as compared to an epidemic which is a sudden surge in cases. Which is exactly what happened, but just to a smaller area.
https://t.co/BgflWHepvC"	Neutral	Informative posts
Well COVID’s acting weird again anyone willing to let me use their Sam’s club/BJ’s/Costco card😭 put me down as family for a week	Neutral	Jokes and sarcasm
"@stesharpe1 @GeorgeTakei It’s the same with any vaccine, why get flu shots every year? Why take cough syrup for the common cold? The COVID vaccine never stated (and I’m sure any vaccine) is 100% perfect. It’s to reduce its ability to spread which would end the strain. It’s basic high school biology"	Neutral	Critique and opinions
@BWildeMTL Many believe that children are less likely to get seriously ill with Covid . This is true although they do have risks and non vaccinating restricts their freedom/well being . But kids need to vaccinate to protect parents/community. Critical to achieving practical herd immunity	Neutral	Critique and opinions
"It was great to see Honourable Premier @jkenney at the @AlpineSkiWC 

#CardiAI is supporting world class athletes with world class healthcare service. 

Our staff is onsite 24* 7 for the duration of the World Cup &amp; provide COVID-19 testing. 

#LakeLouise #WorldCup #Ski #Alberta https://t.co/sBxGBmKL0q"	Positive	Critique and opinions
"@JFante8 Kind Bonnie says tough luck covid losers because libertarians believe it is your poor choices that allowed you to get sick. Is Bonnie sick, no. See, it works."	Negative	Critique and opinions
@Jenn23022446 @MarkFriesen08 Sorry to hear that I suffered from it in 2014. But marks family has spoken publicly about him being diagnosed with Covid.	Neutral	Compassion and sentiment
"@Uber I need a vehicle to get my covid testing, but I'm unsure how to proceed with an Uber driver. What are the proper procedure for this request?"	Neutral	Informative questions
"Statista - Death rates from coronavirus (COVID-19) in the United States as of November 26, 2021, by state (per 100,000 people) https://t.co/yBNyW5ZMhX

Florida is by no means the lowest."	Neutral	Informative posts
"@CPita3 Uhm, ""slippery slope""... to what?? Fewer infected people? Less death and morbidity? It's the #PrecautionaryPrinciple turned inside out and inverted...
👀👀👀👀👀👀👀"	Negative	Critique and opinions
"@dragon19524 @caade_a @michael_gamerz @Reuters I think some indeed died from Covid, but all the numbers seen on TV... inflated and untrue. Or twisted truth. Like ""she survived 4 cancers, but died of covid at age 92"" ... like yeah ""covid killed her🙄but cmon"""	Negative	Critique and opinions
@ScottAdamsSays Not sure where you get your numbers Scott. COVID death are close to zero.	Negative	Critique and opinions
"@VancouverSun @JATetro Also, if the new variant is easier to transmit, would that include touch surfaces? Current covid has focused primarily on droplets by air (aka offcials told us to relax about sanitizing our groceries etc). Sorry, so many questions!"	Neutral	Informative questions
@MDGilbert6 It’s no longer about Covid. It’s all about fear and manipulation.	Negative	Critique and opinions
"@ViciousTrading I swear my old beagle got covid after I did. About two weeks later, he would fall asleep in the yard while trying to take a piss. He never did fully recover. He was a good dog."	Neutral	Compassion and sentiment
@seanroz14 @MikeRosowskii Lol i actually saw this on tiktok. Cathie woods arkk fund is not specific precursor to a crash. Covid specific stocks would be closer related to biotech like $mrna $pfe ppe plays like $lake $apt testing plays like $codx $abt and tech specific would be $chgg $lrn $zm $pton.	Neutral	Critique and opinions
@HighTimes1235 @theonewhoissane @Dono1Mc Where did I say it wasn’t global? Global supply chains are being strained by covid measures.	Neutral	Critique and opinions
"@thegameawards a better society with no variants of covid, people that actually use their brains right, affordable everything, and games that are free to play and don't involve using banking cards to pay for premium currency."	Neutral	Critique and opinions
"France mulls more autonomy for Martinique, Guadeloupe amid COVID-19 riots https://t.co/Ufpi73XwG6 https://t.co/iMik9CMx9Z"	Neutral	Informative posts
"@lisa_rybak @momm4mi4 @chiara_ann13 @LandoGriffin13 I couldn't see very good (it was dark) and covid being covid, it was wearing a mask. I could smell it though; it smelled like death! Thank you Trudeau for those stickers! I most certainly would have perished.🙏"	Neutral	Critique and opinions
@FPVaughanIII Pre orchestrated. Reuters led the charge. Moderna was up 20% on Friday.	Neutral	Critique and opinions
"“Merck said that in a final analysis of a clinical trial, its antiviral pill reduced the risk of hospitalization and death among high-risk Covid patients by 30%, down from an earlier estimate of 50%.”
https://t.co/io5bVpm4Xg"	Neutral	Informative posts
The same people complaining about covid are the same people holding it up	Neutral	Critique and opinions
"@dragon19524 @paxdharma @caade_a @michael_gamerz @Reuters I don't think much peoples believe covid is ""fake"" and/or deliberately want to get it. But its been so overblown by the media and govs tough. Thats the issue. It does not deserve world stopping/changing measures..."	Negative	Critique and opinions
@theonewhoissane @HighTimes1235 @Dono1Mc Border closures are not a way to live with covid when they change constantly.	Negative	Critique and opinions
"How does anyone believe, even for a second, that new Covid variants are the fault of the unvaccinated? Do they also think antibiotic-resistant bacteria develop because of people not taking antibiotics? Make it make sense! https://t.co/2NBzomdLLU"	Negative	Critique and opinions
"In a Bangladesh IVM study of prophylaxis against COVID-19 in health workers, only 4 of 58 volunteers who took a small dose of IVM (12 mg once/mo. for 4 mos) developed mild COVID-19, compared to 44 of the 60 health care workers who declined the medication.
https://t.co/e0KFaY1Ud6"	Neutral	Informative posts
@shaunbillings9 @MdRisette Covid has killed healthy kids. That’s a fact. More so than any of the vaccines. To choose hypotheticals over potential documented long Covid or death is terrible risk assessment and not recognizing them as vectors to others. The vaccines substantially reduce transmission.	Positive	Critique and opinions
"How does anyone believe, even for a second, that new Covid variants are the fault of the unvaccinated? Do they also think antibiotic-resistant bacteria develop because of people not taking antibiotics? Make it make sense!"	Negative	Critique and opinions
"The COVID vaccines were designed to fail!!!

https://t.co/EmVUzM2Uuv"	Negative	Critique and opinions
@TNAKirsh not sure if that was you speaking at the covid twitter space but if yes I wanna salute you for speaking some sense	Neutral	Critique and opinions
@KenMorr56405221 @MercedesGlobal Covid is a liberal spreader of money to news outlets	Negative	Critique and opinions
""",Her research showed in 2014 that the two metre social distancing public health guidelines were outdated."" ⬇️     

#COVIDisAirborne #OmicronVariant https://t.co/ci2yqVzZ2C"	Neutral	Informative posts
@halifaxbeard Covid is already here forever ever. We still need to vaccinate 90% of 7.7 billion just to keep it reasonably in check.	Neutral	Critique and opinions
Kid dropping right after taking Covid  vaccines…..and then the government tells us you cant have your freedom until you take the vaccine https://t.co/24UUM5cYoN	Negative	Critique and opinions
@BigBake88 @itosettiMD_MBA @BNODesk Covid that's outcompeting Delta.	Neutral	Critique and opinions
"@ggreenwald You know very well that Trump/Admin/GOP/MSM etc were a major factor in Rep Covid deaths and hospitalizations.
How can you blame Biden/Admin when they did everything short of forcing ppl to get shots?
And when Reps,cry bloody murder whenever they try to toughen mandates?
Bs Glenn"	Negative	Critique and opinions
"@VancouverSun With so many mutations, is it possible for Omicron to evade some types of current covid tests in some instances? @JATetro"	Neutral	Informative questions
The United States has failed on its boast to be an “arsenal of vaccines.” https://t.co/82BhQt3nWi	Neutral	Informative posts
"@sohayou_ @SolarFlareNB @CSaltNB Solar is correct, this was the last ranking before Covid. So technically he’s still #1 ;) but you’re #1 in Moncton :D"	Positive	Critique and opinions
The media sure does love to BS.  The @CanadianPress ran this piece today.  Ummm... dudes... when Covid first hit in Oshawa the gas was down to almost 50 cents.  That's a lot more than an 11 cent drop.  Bend over so I can show you where you can shove your BS journalism. https://t.co/SRRPIxty2Q	Negative	Critique and opinions
@sohayou_ @CSaltNB nah this is the last one before covid	Neutral	Informative posts
"Canada Post ramping up for holiday season amid COVID-19 pandemic, supply chain issues https://t.co/4irPsDooo9"	Neutral	Informative posts
@theonewhoissane @JanetRWees The air changes frequently. COVID is airborne. You’re safer in an aircraft than most places.	Neutral	Critique and opinions
"Two years now with COVID. And no end in sight. Wave after wave. Variant after variant. Masks. Vaccines. Just when you think they got a handle on it………Nope. Same old……..
#cdnpoli"	Negative	Critique and opinions
"6th ASD-N / zone 7 school to have a COVID case this week, I believe. I wish it were not true but our schools are not safe under current approaches to COVID mitigation. Airborne precautions needed now. https://t.co/Xa62OFVbcz"	Neutral	Critique and opinions
Burlington residents: Be prepared to wear masks into next summer after City extends COVID-19 by-laws https://t.co/2xE0GcPYjv via @@InsideHalton	Neutral	Informative posts
"@p00rpete @CondoChris I was being sarcastic.  The large man with the AK tattoo does not look German at all...he's one of those ""new Europeans"" they've been having so much fun with over there.  Makes me wonder if this confrontation is even COVID related"	Neutral	Critique and opinions
COVID learned to live with humans. https://t.co/Xh46qe2Jc0	Neutral	Jokes and sarcasm
"@birgitomo “South Africa has asked Johnson &amp; Johnson (JNJ.N) and Pfizer (PFE.N) to delay delivery of COVID-19 vaccines because it now has too much stock, health ministry officials said, as vaccine hesitancy slows an inoculation campaign.”

https://t.co/kJPoY51r0y"	Neutral	Informative posts
If i get a sublet for waterloo and covid becomes bad enough that they close campus down again i will be making UW pay my rent	Neutral	Informative questions
"Is it just me, or does Omicron (The newest COVID-19 variant) sounds like the name of a very evil Decepticon!? I'm just saying. https://t.co/hi198Jnt3F"	Neutral	Jokes and sarcasm
"We either figure out how to vaccinate a good chunk of 7.7 billion people in a 6 month window, or COVID-19 is here forever.

That’s it. That’s the tweet. https://t.co/j9sFQOVzlf"	Neutral	Critique and opinions
"How COVID-19 is changing the legal profession?  The COVID-19 pandemic has fundamentally changed the legal, economic, and social order around the world.
#cifile #lawyer #legal 
For more information: https://t.co/dR3WIz5bjl https://t.co/x5VlJBQVtn"	Neutral	Informative posts
"2021-11-27 COVID-19 variant “Omicron” spreads to more countries as world on alert
The new potentially more contagious Omicron variant of the coronavirus popped up in more European countries on Saturday
https://t.co/wFSqFWbypx"	Neutral	Informative posts
@Jenny_shaw88 @GiulioOfLondon @_mariekx @OfficialSteps @Faye_Tozer @llatchfordevans He has covid.	Neutral	Informative posts
"@Deus_Abscondis Omicron is the mildest variant to date. It is very transmissible, yes, but very mild. Covid is transitioning into another common cold coronavirus. People should not try to stop this transition."	Negative	Critique and opinions
"This was all inevitable, even without COVID-19 or CERB/CRB.

Few places paid decent wages or offered benefits. Rising rents meant thinner profits. Yelp and Instagram made customers demand amazing (and cheap!) experiences.

This wasn’t going to last. https://t.co/OMVJlJ8J1s"	Negative	Critique and opinions
"@redsnoopy69 Our biggest concerns are Covid, Climate Change, and Conservatives, and the first 2 can’t be managed until we vanquish the third."	Negative	Jokes and sarcasm
@SebJackson90 I think it was asked more just to shut down rumours. The Vancouver media is at an all time low right now with this + the “Quinn needed an IV for covid” bs	Neutral	Critique and opinions
My youngest just had her first covid shot!  So proud of her and the thousands of kids getting vaccinated daily. Feeling safer already!	Positive	Compassion and sentiment
Jonathan Marchessault: Injury: Marchessault (COVID-19) is expected to return to the Golden Knights lineup on Saturday. https://t.co/u1Q52aNKFG	Neutral	Informative posts
"@johnnymuckle @1777Roots I wonder if this is corporations' way of getting out of paying benefits etc, including not needing to pay insurance claims since COVID isn't mentioned by insurance companies?"	Negative	Critique and opinions
Ottawa Covid-19 update for Saturday https://t.co/UX2vMn9UbW	Neutral	Informative posts
"@BigBake88 @itosettiMD_MBA @BNODesk This is quite the misrepresentation of a) how much of the young pop is considered to be ""healthy"" (no health problems) b) the obvious # of deaths &amp; c) the ongoing health burden of long Covid in a % of survivors (even young survivors) that is now a not insignificant demographic."	Neutral	Critique and opinions
"@newscentermaine And the never ending shots...go on forever. Why is it, that 99% of things there are vaccines for, you need a shot or two ever, but covid requires an unlimited number of shots, what's the current count 4?"	Negative	Critique and opinions
"New COVID-19 death reported in Ottawa, ICUs continue to remain empty of COVID patients https://t.co/TjnUolvpnh via @citynewsottawa"	Neutral	Informative posts
"@Sflecce @thepurepharmacy You going to tweet in support of pediatric covid vaccines too?  It would be helpful having the Minister of Education do so, especially after your letter to the Feds back in March."	Neutral	Informative questions
"@CL4Syr @Deus_Abscondis Omicron is the mildest variant to date. It is very transmissible, yes, but very mild. Covid is transitioning into another common cold coronavirus. People should not try to stop this transition."	Negative	Critique and opinions
Departure of Antarctic cruise from Ushuaia delayed because of Covid 19 among the crew  https://t.co/TbcVinMOPH	Neutral	Informative posts
"@michaelmina_lab ...what happens when a host mucus cell ruptures w/replicated virions: do they spill out like an overflowing cup, or are they ejected like a plume of spores? Has this mechanism been directly observed?

In any case, my down-facing rear car window fogs up, so #CovidIsAirborne...
🤘"	Neutral	Critique and opinions
Ireland Against Covid Tyranny https://t.co/MTbSFxvvHC via @YouTube	Neutral	Critique and opinions
"Covid-19 could have been any single year, on earth, for the last twenty years.

They chose the time in order to maximize efficiency of the lies about to be perpetrated.

This is a military event run with military planning.

NEVER forget that FACT."	Negative	Critique and opinions
"Immunity Status
Please note that failure to keep your vaccinations
up to date on an ongoing basis will result in your
vaccine passport becoming VOID. PRIVILEGES will be
granted to FULLY VACCINATED people ONLY.

This is what is planned for every country by WHO - CDC - PFIZER. https://t.co/8YbYdlPBY9"	Neutral	Informative posts
"Universal PropTech Inc. $UPI.V $UPIPF is hosting Webinar - Join Science Panelists on Assessing Risk of SECOND-HAND Covid. Would you like to attend? 👇
https://t.co/c7dbLPinAy https://t.co/y8d5sKT5Gi"	Neutral	Informative posts
"Well well well....remember I told you this was going to come, because it was leaked over a year ago in the UE QR code passes. There was a section for Covid 19 and one for Covid 21. https://t.co/1sNi79crkq"	Neutral	Critique and opinions
The COVID vaccines were designed to fail https://t.co/AL54YCX4nr	Negative	Critique and opinions
@Ben_S_Harper Not interested in the opinion of a spoiled brat that doesn’t contribute much to the good of our society! Is this what ABs are paying your salary for? To tell us that COVID travels in waves! Stay in school!	Negative	Critique and opinions
@COVIDNS Meanwhile we never had any sort of circuit breaker here in nova Scotia this whole 4th wave unlike new brunswick hence why there is literally close to 100 schools now that have reported exposures to covid. They have reported multiple cases coming in from surrounding communities.	Neutral	Informative posts
"@bruce_arthur I'm not so sure it was taken out of context. The ""severe"" cases were all among the unvaccinated, so it's just regular covid like you say."	Negative	Critique and opinions
"@Sproutismyname @KarlHall15 @erinotoole ""She said it would take several weeks to do the necessary lab tests to determine if current coronavirus vaccines are still effective against the new variant.""
https://t.co/u64yDglo6A"	Neutral	Informative posts
"@joncoopertweets I'm not so sure.
Russia and China, implemented strict lock downs. Russia was first to take arm jabs, and yet they say 'it's time to accept there's no end in sight to covid'.
Fools will be fools, but this is more than masks &amp; Vax.
It's the way the world lives. Time to change."	Negative	Critique and opinions
@seftonm @chrischuckry @HStefansonMB If Heather waits til 2023 for the election how many votes in their base will be lost because of their inaction? Covid will still be around by next election in some form. Time to focus on rebuilding a living MB.	Neutral	Critique and opinions
"I don't think I will ever believe a doctor again! A politician is a given but Doctors, that's bad. Japan wipes out Covid with Ivermectin! Yet Hospitals in Canada won't allow it??? they don't want people cured!! https://t.co/7GFdvPRJxn"	Negative	Critique and opinions
Anti-vaxxers will be a minor problem in comparison to this issue. Nothing will create covid fatigue faster than continuously walking back the social benefits https://t.co/Op632Z7bvP	Negative	Critique and opinions
"@HighTimes1235 @Dono1Mc @theonewhoissane Because people have lives, careers, etc, and covid isn’t the only concern in the world."	Neutral	Critique and opinions
"Churchill hit hard by COVID pandemic as eco-tourism, grain shipments affected https://t.co/6PDPdD8e0j"	Neutral	Informative posts
